time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,mag_x,mag_y,mag_z
18:26.6,-0.077306142,0.107565012,9.986821875,0.291005565,-0.136213801,0.04666312,-0.070671378,6.181494662,6.25
18:26.6,-0.106306792,0.126477541,9.957492958,0.124483881,0.136213801,0.077771867,-0.074204947,6.170818505,6.258196721
18:26.7,-0.038796214,0.098108747,9.957101541,0.031694261,0.090809201,0,-0.070671378,6.170818505,6.254098361
18:26.7,-0.019493968,0.088652482,9.947193148,0.106649344,-0.105944068,0,-0.074204947,6.174377224,6.254098361
18:26.7,-0.000569973,0.117021277,9.936910288,0.137884972,-0.060539467,0.139989361,-0.077738516,6.174377224,6.258196721
18:26.7,-0.067513175,0.088652482,10.00653294,0.138802237,0.030269734,0.062217494,-0.081272085,6.170818505,6.25
18:26.7,-0.029192372,0.098108747,9.966815435,0.092636743,0.030269734,0.015554373,-0.077738516,6.163701068,6.245901639
18:26.7,-0.009984689,0.098108747,9.956813425,0.016305763,0.090809201,-0.062217494,-0.074204947,6.170818505,6.258196721
18:26.7,-0.048872868,0.145390071,9.888059966,0.000917265,0.090809201,0.062217494,-0.070671378,6.167259786,6.258196721
18:26.7,-0.096797513,0.135933806,9.94749337,0.07633098,-0.060539467,-0.031108747,-0.074204947,6.174377224,6.262295082
18:26.7,-0.01958853,0.098108747,9.917669733,0.216967747,0.151348668,0.279978722,-0.077738516,6.174377224,6.245901639
18:26.7,-0.048683743,0.126477541,9.92748693,0.091872356,-0.0454046,0.139989361,-0.084805654,6.174377224,6.25
18:26.8,-0.039174464,0.135933806,10.00577674,0.246521723,0.030269734,0.233315601,-0.081272085,6.167259786,6.254098361
18:26.8,-0.029192372,0.098108747,9.966815435,0.092330988,0,0.062217494,-0.067137809,6.174377224,6.25
18:26.8,-0.010079252,0.107565012,9.956719808,0.184203344,-0.0454046,0.233315601,-0.077738516,6.177935943,6.262295082
18:26.8,-0.048400055,0.098108747,9.947387646,0.107413731,-0.030269734,0.108880614,-0.074204947,6.163701068,6.266393443
18:26.8,-0.000191722,0.079196217,9.956904621,0.123107984,0,0.279978722,-0.074204947,6.167259786,6.258196721
18:26.8,-0.029192372,0.098108747,9.957005502,0.261757344,0.015134867,-0.04666312,-0.070671378,6.167259786,6.262295082
18:26.8,-0.010173814,0.117021277,9.956626191,-0.045248229,0.090809201,0.015554373,-0.077738516,6.177935943,6.258196721
18:26.8,0.018732273,0.107565012,9.976051558,-0.030776996,0,-0.077771867,-0.074204947,6.163701068,6.262295082
18:26.8,0.018543148,0.126477541,9.926814661,0.201273494,0.121078934,0.077771867,-0.081272085,6.170818505,6.262295082
18:26.8,0.008939306,0.126477541,9.985770295,0.184814854,0.015134867,0.031108747,-0.077738516,6.163701068,6.254098361
18:26.8,-0.058003897,0.098108747,9.92786382,-0.029859731,0.090809201,0.202206855,-0.09540636,6.170818505,6.262295082
18:26.9,-0.048872868,0.145390071,9.888059966,0.184509099,-0.015134867,0.093326241,-0.070671378,6.160142349,6.245901639
18:26.9,-0.000286285,0.088652482,9.907761341,-0.016764395,-0.136213801,0.139989361,-0.077738516,6.174377224,6.245901639
18:26.9,-0.048400055,0.098108747,9.947387646,-0.092483866,-0.015134867,0.171098108,-0.074204947,6.167259786,6.254098361
18:26.9,-0.038890776,0.107565012,9.966817856,0.168814846,-0.0454046,0.031108747,-0.081272085,6.160142349,6.258196721
18:26.9,-0.077117017,0.088652482,9.928149514,0.046624126,0.0454046,0.264424348,-0.070671378,6.163701068,6.262295082
18:26.9,-0.039269027,0.145390071,9.956633455,0.107566609,-0.015134867,0,-0.077738516,6.174377224,6.254098361
18:26.9,-0.04821093,0.079196217,9.986814611,0.077859755,0.090809201,0.139989361,-0.077738516,6.174377224,6.266393443
18:26.9,-0.07721158,0.098108747,9.879006234,0.031388506,0.060539467,0.04666312,-0.070671378,6.167259786,6.258196721
18:26.9,-0.038985339,0.117021277,9.947104374,-0.030624119,0.015134867,0.062217494,-0.070671378,6.170818505,6.254098361
18:26.9,-0.010173814,0.117021277,9.927196394,0.214674585,-0.075674334,-0.202206855,-0.077738516,6.167259786,6.258196721
18:27.0,-0.029192372,0.098108747,9.9864353,0.000305755,0.030269734,0.077771867,-0.070671378,6.170818505,6.254098361
18:27.0,-0.019966781,0.135933806,9.985964793,-0.075413716,0.151348668,0.186652481,-0.074204947,6.170818505,6.25
18:27.0,-0.04821093,0.079196217,10.00643448,-0.046165494,0,0.031108747,-0.074204947,6.177935943,6.254098361
18:27.0,0.009128432,0.107565012,9.936907866,-0.046624126,-0.0454046,0.202206855,-0.070671378,6.163701068,6.254098361
18:27.0,-0.058003897,0.098108747,9.918053887,0.124178126,0.105944068,0.077771867,-0.077738516,6.163701068,6.258196721
18:27.0,-0.038890776,0.107565012,9.957007923,-0.170649375,-0.136213801,0.186652481,-0.067137809,6.170818505,6.254098361
18:27.0,-0.058193022,0.117021277,9.917866653,-0.013859724,0.151348668,-0.062217494,-0.074204947,6.170818505,6.25
18:27.0,-0.029381497,0.117021277,9.88814874,-0.091413723,0.090809201,-0.015554373,-0.074204947,6.170818505,6.25
18:27.0,-0.009890126,0.088652482,9.90785738,0.169732111,0.0454046,0.155543734,-0.088339223,6.167259786,6.254098361
18:27.0,-0.038796214,0.098108747,9.966911473,-0.000917265,-0.090809201,0.015554373,-0.074204947,6.174377224,6.245901639
18:27.1,-0.029286935,0.107565012,9.927482087,0.168814846,-0.0454046,0.217761228,-0.070671378,6.163701068,6.245901639
18:27.1,-0.019872218,0.126477541,9.897769017,0.124025249,0.090809201,0.108880614,-0.070671378,6.163701068,6.254098361
18:27.1,0.008939306,0.126477541,9.946530565,-0.046777004,-0.060539467,0.031108747,-0.088339223,6.167259786,6.266393443
18:27.1,-0.038890776,0.107565012,9.927578126,0.122649352,-0.0454046,0.093326241,-0.070671378,6.170818505,6.258196721
18:27.1,-0.028814121,0.060283688,9.937760105,0.108483873,0.075674334,0.015554373,-0.070671378,6.174377224,6.254098361
18:27.1,-0.000759098,0.135933806,9.887673391,0.091566601,-0.075674334,0.202206855,-0.070671378,6.170818505,6.254098361
18:27.1,-0.019777656,0.117021277,9.976342095,-0.137884972,0.060539467,-0.093326241,-0.077738516,6.160142349,6.25
18:27.1,-0.048494618,0.107565012,9.966913894,-0.014318356,0.105944068,-0.062217494,-0.06360424,6.170818505,6.254098361
18:27.1,-0.038985339,0.117021277,9.956914306,0.09278962,0.0454046,0.031108747,-0.070671378,6.174377224,6.245901639
